,Distance,Mass,Radius,Gravity
0,0.000015813,1.989e+30,695700000.0,274.10478078144416
1,8.6,4.1769000000000005e+30,1182690000.0,199.1764843048556
2,4.4,2.1879e+30,834840000.0,209.38559643026983
3,17,3.5802e+30,1252260000.0,152.280433767469
4,25,3.7791e+30,1252260000.0,160.74045786566168
